combine,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
10,515,274,264,259,262,313,258,252,252,256,251,255,,51.5,27.4,26.4,25.9,26.2,31.3,25.8,25.2,25.2,25.6,25.1,25.5
20,347,287,259,251,239,259,246,249,237,245,236,229,,17.35,14.35,12.95,12.55,11.95,12.95,12.3,12.45,11.85,12.25,11.8,11.45
30,371,319,286,251,257,253,253,238,245,240,238,239,,12.36666667,10.63333333,9.533333333,8.366666667,8.566666667,8.433333333,8.433333333,7.933333333,8.166666667,8,7.933333333,7.966666667
40,412,343,308,253,243,248,245,249,243,244,244,247,,10.3,8.575,7.7,6.325,6.075,6.2,6.125,6.225,6.075,6.1,6.1,6.175
50,469,374,333,267,253,260,259,254,255,254,251,244,,9.38,7.48,6.66,5.34,5.06,5.2,5.18,5.08,5.1,5.08,5.02,4.88
60,506,407,355,268,256,259,256,257,257,252,249,249,,8.433333333,6.783333333,5.916666667,4.466666667,4.266666667,4.316666667,4.266666667,4.283333333,4.283333333,4.2,4.15,4.15
70,563,437,379,282,260,272,270,258,261,253,261,253,,8.042857143,6.242857143,5.414285714,4.028571429,3.714285714,3.885714286,3.857142857,3.685714286,3.728571429,3.614285714,3.728571429,3.614285714
80,603,469,404,284,266,271,268,265,260,251,257,254,,7.5375,5.8625,5.05,3.55,3.325,3.3875,3.35,3.3125,3.25,3.1375,3.2125,3.175
90,648,500,428,294,268,284,282,264,269,270,262,259,,7.2,5.555555556,4.755555556,3.266666667,2.977777778,3.155555556,3.133333333,2.933333333,2.988888889,3,2.911111111,2.877777778
100,697,535,450,299,277,283,280,273,268,269,259,265,,6.97,5.35,4.5,2.99,2.77,2.83,2.8,2.73,2.68,2.69,2.59,2.65
110,746,566,474,308,276,295,293,265,278,276,262,262,,6.781818182,5.145454545,4.309090909,2.8,2.509090909,2.681818182,2.663636364,2.409090909,2.527272727,2.509090909,2.381818182,2.381818182
120,800,600,497,316,291,295,292,280,270,284,267,265,,6.666666667,5,4.141666667,2.633333333,2.425,2.458333333,2.433333333,2.333333333,2.25,2.366666667,2.225,2.208333333
130,845,629,521,324,284,308,304,273,278,287,280,268,,6.5,4.838461538,4.007692308,2.492307692,2.184615385,2.369230769,2.338461538,2.1,2.138461538,2.207692308,2.153846154,2.061538462
140,885,662,544,332,303,306,305,284,280,286,274,278,,6.321428571,4.728571429,3.885714286,2.371428571,2.164285714,2.185714286,2.178571429,2.028571429,2,2.042857143,1.957142857,1.985714286
150,953,694,568,339,307,313,311,281,285,292,283,281,,6.353333333,4.626666667,3.786666667,2.26,2.046666667,2.086666667,2.073333333,1.873333333,1.9,1.946666667,1.886666667,1.873333333
160,980,724,592,349,314,319,315,293,287,292,282,288,,6.125,4.525,3.7,2.18125,1.9625,1.99375,1.96875,1.83125,1.79375,1.825,1.7625,1.8
170,1027,757,616,355,319,324,321,289,295,293,290,286,,6.041176471,4.452941176,3.623529412,2.088235294,1.876470588,1.905882353,1.888235294,1.7,1.735294118,1.723529412,1.705882353,1.682352941
180,1074,787,639,362,326,330,328,300,292,295,292,295,,5.966666667,4.372222222,3.55,2.011111111,1.811111111,1.833333333,1.822222222,1.666666667,1.622222222,1.638888889,1.622222222,1.638888889
190,1122,819,662,371,331,336,334,297,301,301,297,296,,5.905263158,4.310526316,3.484210526,1.952631579,1.742105263,1.768421053,1.757894737,1.563157895,1.584210526,1.584210526,1.563157895,1.557894737
200,1169,851,686,380,338,341,340,306,303,302,299,305,,5.845,4.255,3.43,1.9,1.69,1.705,1.7,1.53,1.515,1.51,1.495,1.525
