combine,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12
10,540,289,273,265,268,275,275,260,263,262,259,257,,54,28.9,27.3,26.5,26.8,27.5,27.5,26,26.3,26.2,25.9,25.7
20,341,304,300,260,250,241,263,250,260,254,254,238,,17.05,15.2,15,13,12.5,12.05,13.15,12.5,13,12.7,12.7,11.9
30,383,348,343,263,265,246,265,265,264,267,265,238,,12.76666667,11.6,11.43333333,8.766666667,8.833333333,8.2,8.833333333,8.833333333,8.8,8.9,8.833333333,7.933333333
40,413,391,386,278,281,251,257,281,282,280,281,246,,10.325,9.775,9.65,6.95,7.025,6.275,6.425,7.025,7.05,7,7.025,6.15
50,467,435,430,293,297,259,259,297,302,305,296,246,,9.34,8.7,8.6,5.86,5.94,5.18,5.18,5.94,6.04,6.1,5.92,4.92
60,508,478,473,311,311,265,267,313,311,317,313,256,,8.466666667,7.966666667,7.883333333,5.183333333,5.183333333,4.416666667,4.45,5.216666667,5.183333333,5.283333333,5.216666667,4.266666667
70,565,521,516,325,327,274,275,328,330,329,328,254,,8.071428571,7.442857143,7.371428571,4.642857143,4.671428571,3.914285714,3.928571429,4.685714286,4.714285714,4.7,4.685714286,3.628571429
80,601,564,560,342,343,283,283,343,349,342,344,262,,7.5125,7.05,7,4.275,4.2875,3.5375,3.5375,4.2875,4.3625,4.275,4.3,3.275
90,648,608,604,356,358,291,290,359,358,368,360,262,,7.2,6.755555556,6.711111111,3.955555556,3.977777778,3.233333333,3.222222222,3.988888889,3.977777778,4.088888889,4,2.911111111
100,696,652,647,374,374,297,299,374,377,380,376,271,,6.96,6.52,6.47,3.74,3.74,2.97,2.99,3.74,3.77,3.8,3.76,2.71
110,744,694,689,388,390,306,306,392,396,393,391,270,,6.763636364,6.309090909,6.263636364,3.527272727,3.545454545,2.781818182,2.781818182,3.563636364,3.6,3.572727273,3.554545455,2.454545455
120,791,738,733,406,405,314,314,405,405,405,407,275,,6.591666667,6.15,6.108333333,3.383333333,3.375,2.616666667,2.616666667,3.375,3.375,3.375,3.391666667,2.291666667
130,838,781,778,420,421,322,321,422,425,430,423,278,,6.446153846,6.007692308,5.984615385,3.230769231,3.238461538,2.476923077,2.469230769,3.246153846,3.269230769,3.307692308,3.253846154,2.138461538
140,887,826,821,437,438,328,329,437,443,442,439,287,,6.335714286,5.9,5.864285714,3.121428571,3.128571429,2.342857143,2.35,3.121428571,3.164285714,3.157142857,3.135714286,2.05
150,933,868,863,452,453,338,337,454,453,454,453,284,,6.22,5.786666667,5.753333333,3.013333333,3.02,2.253333333,2.246666667,3.026666667,3.02,3.026666667,3.02,1.893333333
160,980,913,908,469,469,346,345,469,472,467,470,290,,6.125,5.70625,5.675,2.93125,2.93125,2.1625,2.15625,2.93125,2.95,2.91875,2.9375,1.8125
170,1027,955,951,483,484,353,354,484,490,494,485,292,,6.041176471,5.617647059,5.594117647,2.841176471,2.847058824,2.076470588,2.082352941,2.847058824,2.882352941,2.905882353,2.852941176,1.717647059
180,1097,999,994,500,501,360,362,501,500,507,501,303,,6.094444444,5.55,5.522222222,2.777777778,2.783333333,2,2.011111111,2.783333333,2.777777778,2.816666667,2.783333333,1.683333333
190,1123,1042,1037,515,516,369,369,516,519,519,516,300,,5.910526316,5.484210526,5.457894737,2.710526316,2.715789474,1.942105263,1.942105263,2.715789474,2.731578947,2.731578947,2.715789474,1.578947368
200,1171,1085,1081,532,532,377,377,532,538,532,533,306,,5.855,5.425,5.405,2.66,2.66,1.885,1.885,2.66,2.69,2.66,2.665,1.53
